  -0.0292389673    1.2400218336    2.1041023312
   0.4380549940    1.2400218336    2.0514509467
   0.2044080134    1.6447102752    2.0514509467
  -0.2628859480    1.6447102752    2.0514509467
  -0.4965329286    1.2400218336    2.0514509467
   0.2044080134    0.8353333921    2.0514509467
   0.7598451475    1.6955997597    1.8961369538
   0.4263389588    2.0291059484    1.8961369538
  -0.0292389673    2.1511776858    1.8961369538
  -0.4848168934    2.0291059484    1.8961369538
  -0.8183230821    1.6955997597    1.8961369538
   0.9737649186    2.0816420244    1.6459484443
   0.6254253247    2.3739336492    1.6459484443
   0.1981235553    2.5294587743    1.6459484443
  -1.0322428532    2.0816420244    1.6459484443
   1.0459415834    2.4808463348    1.3134309151
   0.6528085572    2.7334975896    1.3134309151
  -1.4104478104    2.1276708584    1.3134309151
   1.0455592014    2.7971358017    0.9152581833
   1.2472620154    2.8407034369    0.4713962925
   1.3302722307    2.8405621494    0.0041023312
   1.2472620154    2.8407034369   -0.4631916301
   1.0455592014    2.7971358017   -0.9070535210
   1.0459415834    2.4808463348   -1.3052262527
   0.6528085572    2.7334975896   -1.3052262527
  -1.4104478104    2.1276708584   -1.3052262527
   0.9737649186    2.0816420244   -1.6377437820
   0.6254253247    2.3739336492   -1.6377437820
   0.1981235553    2.5294587743   -1.6377437820
  -0.6839032593    2.3739336492   -1.6377437820
  -1.0322428532    2.0816420244   -1.6377437820
   0.7598451475    1.6955997597   -1.8879322914
   0.4263389588    2.0291059484   -1.8879322914
  -0.0292389673    2.1511776858   -1.8879322914
  -0.4848168934    2.0291059484   -1.8879322914
  -0.8183230821    1.6955997597   -1.8879322914
   0.4380549940    1.2400218336   -2.0432462844
   0.2044080134    1.6447102752   -2.0432462844
  -0.2628859480    1.6447102752   -2.0432462844
  -0.4965329286    1.2400218336   -2.0432462844
   0.2044080134    0.8353333921   -2.0432462844
  -0.0292389673    1.2400218336   -2.0958976688
   1.2420286089    0.7411152654    2.0968753909
   1.7093225702    0.7411152654    2.0442240065
   1.4756755895    1.1458037069    2.0442240065
   1.0083816282    1.1458037069    2.0442240065
